date,geography,geography code,Total,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Mixed/multiple ethnic groups: Total,Mixed/multiple ethnic groups: White and Black Caribbean,Mixed/multiple ethnic groups: White and Black African,Mixed/multiple ethnic groups: White and Asian,Mixed/multiple ethnic groups: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
2021,"Birmingham, Northfield",E14000565,105895,82752,78134,1593,43,72,2910,6217,3517,484,1156,1060,6606,1746,1654,386,1021,1799,7935,3952,2766,1217,2385,798,1587
2021,"Birmingham, Perry Barr",E14000566,112442,35866,30127,1026,44,214,4455,4674,2116,370,1033,1155,48740,16890,17254,10387,550,3659,17901,6712,8982,2207,5261,669,4592
2021,"Birmingham, Selly Oak",E14000567,109606,75594,68826,2441,45,81,4201,6121,2808,423,1584,1306,17906,4539,7632,1521,2045,2169,6745,3255,2673,817,3240,1280,1960
2021,"Birmingham, Yardley",E14000568,116967,58682,51954,2248,73,140,4267,5380,2381,308,1559,1132,40879,4506,26370,6163,383,3457,7383,3866,2686,831,4643,1785,2858
2021,Bishop Auckland,E14000569,89913,88000,86443,186,334,40,997,674,153,169,220,132,744,211,66,21,209,237,331,221,54,56,164,35,129
2021,Blackburn,E14000570,114396,55627,51167,407,79,133,3841,2086,253,168,1103,562,53432,24054,26427,1407,267,1277,1242,955,143,144,2009,807,1202
2021,Blackley and Broughton,E14000571,128907,70416,58254,1331,241,206,10384,5510,1661,1568,1033,1248,27485,2243,19033,451,1986,3772,18415,15076,1285,2054,7081,2681,4400
2021,Blackpool North and Cleveleys,E14000572,82874,79355,76654,435,53,33,2180,1150,327,220,370,233,1636,375,159,171,311,620,353,240,75,38,380,106,274
2021,Blackpool South,E14000573,81001,76489,72733,485,195,177,2899,1288,381,224,349,334,2269,540,439,303,317,670,413,239,120,54,542,113,429
2021,Blaydon,E14000574,88020,85341,83739,248,44,39,1271,799,130,164,292,213,1088,285,242,54,270,237,293,224,27,42,499,140,359
2021,Blyth Valley,E14000575,85336,83345,82263,206,29,10,837,701,116,141,267,177,765,234,111,113,122,185,201,138,37,26,324,157,167
2021,Bognor Regis and Littlehampton,E14000576,110151,105086,95379,606,151,142,8808,1699,391,306,528,474,2033,560,81,447,315,630,633,363,163,107,700,91,609
2021,Bolsover,E14000577,99979,97358,93742,256,117,34,3209,967,371,138,242,216,888,339,89,20,186,254,479,277,131,71,287,46,241
2021,Bolton North East,E14000578,101083,74032,70339,555,369,144,2625,2424,798,428,731,467,18692,9065,8281,179,421,746,4189,3454,227,508,1746,753,993
2021,Bolton South East,E14000579,111408,66779,63080,424,96,164,3015,2426,505,522,914,485,33109,13245,16644,735,323,2162,5976,5033,234,709,3118,826,2292
2021,Bolton West,E14000580,99105,86836,84204,510,84,84,1954,2018,502,345,754,417,8028,3995,3043,75,426,489,1439,1111,164,164,784,260,524
2021,Bootle,E14000581,101381,96686,92767,717,28,118,3056,1464,315,362,361,426,1600,274,80,68,473,705,694,482,141,71,937,276,661
2021,Boston and Skegness,E14000582,109484,104665,89139,269,207,218,14832,1464,466,213,389,396,1855,706,379,102,200,468,560,420,80,60,940,133,807
2021,Bosworth,E14000583,106834,101255,97467,516,76,47,3149,1798,594,191,588,425,2543,1538,192,76,331,406,659,409,174,76,579,81,498
2021,Bournemouth East,E14000584,106937,94172,80393,787,55,351,12586,3914,924,654,1062,1274,4817,1759,201,338,844,1675,1624,1087,334,203,2410,607,1803
2021,Bournemouth West,E14000585,107623,95390,83470,696,171,360,10693,3980,1051,686,1056,1187,4467,1490,199,409,911,1458,1653,1106,385,162,2133,527,1606
2021,Bracknell,E14000586,113957,98293,88974,936,210,150,8023,3423,874,516,1218,815,8065,3365,811,217,759,2913,2723,1897,490,336,1453,272,1181
2021,Bradford East,E14000587,121814,56092,49856,348,271,496,5121,3973,1100,311,1788,774,55130,3630,43357,5350,286,2507,3367,2172,729,466,3252,717,2535
2021,Bradford South,E14000588,106440,75216,70421,401,148,294,3952,3619,1439,285,1370,525,23269,3333,17922,552,338,1124,2581,1520,691,370,1755,440,1315
2021,Bradford West,E14000589,121355,35838,28995,329,313,574,5627,3462,741,278,1658,785,74034,5617,61107,3961,336,3013,3793,2790,692,311,4228,1322,2906
2021,Braintree,E14000590,103260,98042,93326,720,112,50,3834,1886,510,272,546,558,1659,531,157,175,263,533,1162,744,269,149,511,56,455
2021,Brent Central,E14000591,149716,53888,23438,4889,123,1352,24086,9169,2080,1991,1640,3458,34444,15016,7038,1059,1369,9962,35491,18876,12355,4260,16724,9389,7335
2021,Brent North,E14000592,144919,39692,14477,2919,79,835,21382,4681,979,615,1163,1924,71222,49076,7205,937,1503,12501,16555,8213,6269,2073,12769,6172,6597
2021,Brentford and Isleworth,E14000593,143867,74940,47063,2924,101,555,24297,8045,1575,1131,2557,2782,41241,23032,6835,1248,1807,8319,9932,6764,2071,1097,9709,3376,6333
2021,Brentwood and Ongar,E14000594,98371,88154,82834,1218,120,85,3897,2861,808,388,920,745,4430,2301,339,327,553,910,1913,1244,422,247,1013,182,831
2021,Bridgwater and West Somerset,E14000595,116289,112577,105946,480,165,126,5860,1254,280,238,419,317,1522,669,49,127,206,471,381,227,84,70,555,81,474
2021,Brigg and Goole,E14000596,87670,85655,81315,246,91,73,3930,772,162,145,267,198,776,230,119,82,164,181,184,129,25,30,283,43,240
2021,"Brighton, Kemptown",E14000597,93658,81256,72692,1145,68,198,7153,3681,847,732,1068,1034,4395,1195,275,621,903,1401,2039,1563,308,168,2287,841,1446
2021,"Brighton, Pavilion",E14000598,104739,89314,76593,1532,105,304,10780,5446,938,837,1873,1798,5186,1313,395,438,1511,1529,2075,1436,439,200,2718,956,1762
2021,Bristol East,E14000599,104312,83274,74394,697,33,226,7924,4982,2185,599,1033,1165,8062,2017,3324,934,665,1122,6087,3337,2019,731,1907,381,1526
2021,Bristol North West,E14000600,110044,91606,81110,865,52,134,9445,4438,1594,521,1256,1067,7122,2547,1335,687,1004,1549,5018,3149,1302,567,1860,511,1349
2021,Bristol South,E14000601,118142,106005,96934,938,90,214,7829,4031,1744,485,901,901,3873,953,1187,187,539,1007,3032,1942,710,380,1201,325,876
2021,Bristol West,E14000602,139962,102254,86014,1786,97,392,13965,7665,2191,1016,2366,2092,12212,2785,3218,808,3258,2143,13750,9721,2769,1260,4081,1322,2759
2021,Broadland,E14000603,100061,97312,94891,378,59,34,1950,1181,213,250,428,290,904,266,35,49,222,332,354,221,72,61,310,45,265
2021,Bromley and Chislehurst,E14000604,96092,72017,61376,1255,171,196,9019,5392,1647,742,1424,1579,8622,3736,617,581,1483,2205,7586,4206,2191,1189,2475,408,2067
2021,Bromsgrove,E14000605,99183,92309,89676,986,85,9,1553,2414,1022,141,783,468,3159,1854,405,64,410,426,766,278,375,113,535,124,411
2021,Broxbourne,E14000606,104648,85008,71938,1399,158,188,11325,4120,1346,462,822,1490,3947,1566,351,328,449,1253,6808,3937,2036,835,4765,210,4555
2021,Broxtowe,E14000607,96315,84577,79975,601,22,59,3920,2571,1062,250,745,514,5992,2333,1210,106,1260,1083,1761,1077,490,194,1414,484,930
2021,Buckingham,E14000608,111244,102696,97335,1124,116,33,4088,2536,702,281,923,630,3629,1534,864,109,412,710,1720,1086,449,185,663,163,500
2021,Burnley,E14000609,94651,78112,73752,457,83,106,3714,1505,191,165,826,323,13930,378,10102,2737,164,549,326,180,95,51,778,157,621
2021,Burton,E14000610,112533,95900,86080,452,100,214,9054,2583,1138,193,809,443,11412,1038,8609,208,327,1230,1347,703,472,172,1291,188,1103
2021,Bury North,E14000611,91859,74266,70969,746,74,72,2405,2081,675,236,743,427,12693,611,10421,343,374,944,1601,1176,237,188,1218,261,957
2021,Bury South,E14000612,101991,86450,80559,1446,58,62,4325,3043,947,510,927,659,7898,1255,4727,135,681,1100,2089,1344,464,281,2511,454,2057
2021,Bury St Edmunds,E14000613,117445,111528,105575,624,92,54,5183,2096,493,319,611,673,2079,606,74,86,340,973,926,495,231,200,816,77,739
2021,Calder Valley,E14000614,102576,97513,94734,851,45,36,1847,1909,682,189,627,411,2281,401,1299,156,163,262,492,214,205,73,381,88,293
