date,geography,geography code,Total,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Mixed/multiple ethnic groups: Total,Mixed/multiple ethnic groups: White and Black Caribbean,Mixed/multiple ethnic groups: White and Black African,Mixed/multiple ethnic groups: White and Asian,Mixed/multiple ethnic groups: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
2011,Berwick-upon-Tweed,E14000554,75718,74698,73500,229,0,50,919,373,126,49,127,71,446,131,64,40,102,109,141,68,57,16,60,13,47
2011,Bishop Auckland,E14000569,87143,86058,84968,190,0,123,777,461,174,51,139,97,455,147,62,21,117,108,93,64,20,9,76,25,51
2011,Blaydon,E14000574,88281,86692,85740,188,0,27,737,504,146,85,175,98,773,245,130,31,195,172,160,115,25,20,152,48,104
2011,Blyth Valley,E14000575,82174,81071,80337,153,0,10,571,442,144,55,155,88,570,199,54,85,115,117,47,20,24,3,44,13,31
2011,City of Durham,E14000641,94375,90135,87204,424,0,106,2401,994,195,113,429,257,2416,616,171,69,957,603,337,229,60,48,493,347,146
2011,Darlington,E14000658,91417,87754,85249,284,0,326,1895,1033,429,85,305,214,2059,675,140,504,316,424,340,197,102,41,231,99,132
2011,Easington,E14000677,82769,81690,80778,101,0,53,758,404,148,48,127,81,537,209,93,38,100,97,58,41,10,7,80,11,69
2011,Gateshead,E14000709,94506,89076,85794,367,0,53,2862,959,230,161,319,249,2690,613,456,187,817,617,872,753,61,58,909,234,675
2011,Hartlepool,E14000733,92028,89899,88924,193,0,40,742,550,180,54,173,143,1304,266,291,214,229,304,170,129,36,5,105,57,48
2011,Hexham,E14000746,76236,74714,73505,289,0,21,899,478,89,74,225,90,884,406,128,66,123,161,70,49,13,8,90,32,58
2011,Houghton and Sunderland South,E14000754,87002,85615,85053,110,0,34,418,370,123,48,117,82,717,226,100,60,182,149,156,111,26,19,144,39,105
2011,Jarrow,E14000765,83260,81252,80607,172,0,12,461,519,163,86,150,120,1083,320,114,227,167,255,149,98,30,21,257,109,148
2011,Middlesbrough,E14000819,93865,79217,76711,442,0,62,2002,1836,385,348,751,352,9940,1223,6499,210,828,1180,1494,1274,71,149,1378,889,489
2011,Middlesbrough South and East Cleveland,E14000820,92826,90533,89665,229,0,50,589,784,253,127,235,169,1071,282,369,54,142,224,271,216,34,21,167,73,94
2011,Newcastle upon Tyne Central,E14000831,93693,69538,65310,514,0,78,3636,1881,347,405,709,420,17255,2783,4939,3811,2729,2993,2785,2556,90,139,2234,1470,764
2011,Newcastle upon Tyne East,E14000832,95589,84753,80712,924,0,70,3047,1526,285,317,554,370,6713,1337,997,500,2600,1279,1752,1551,97,104,845,363,482
2011,Newcastle upon Tyne North,E14000833,90895,85242,83498,388,0,15,1341,872,198,137,346,191,3139,952,428,381,708,670,623,557,30,36,1019,769,250
2011,North Durham,E14000840,86883,85684,84846,163,0,81,594,407,148,46,132,81,657,207,81,50,186,133,68,39,19,10,67,34,33
2011,North Tyneside,E14000853,102042,98608,97077,255,0,13,1263,875,226,200,270,179,1891,589,162,159,580,401,499,410,55,34,169,60,109
2011,North West Durham,E14000856,92119,91099,89588,224,0,45,1242,447,154,36,161,96,452,107,39,40,130,136,70,34,25,11,51,15,36
2011,Redcar,E14000891,86898,85508,84658,318,0,58,474,595,201,84,191,119,626,63,238,74,89,162,88,60,21,7,81,25,56
2011,Sedgefield,E14000915,84100,82944,81929,171,0,83,761,494,184,39,150,121,485,133,22,42,141,147,92,49,27,16,85,40,45
2011,South Shields,E14000944,82294,77821,77035,170,0,4,612,901,197,157,319,228,2503,381,351,1331,110,330,320,253,35,32,749,464,285
2011,Stockton North,E14000970,92033,88325,87275,255,0,78,717,920,194,165,342,219,1988,375,799,42,310,462,603,523,29,51,197,92,105
2011,Stockton South,E14000971,99577,92974,91690,281,0,65,938,1077,225,151,481,220,4644,1113,2273,90,556,612,530,413,55,62,352,144,208
2011,Sunderland Central,E14000982,99885,91848,90080,369,0,22,1377,856,252,107,323,174,5673,1165,468,1862,1197,981,912,801,55,56,596,213,383
2011,Tynemouth,E14001006,98759,95417,93859,341,0,16,1201,940,222,185,332,201,1924,506,157,527,289,445,235,166,36,33,243,117,126
2011,Wansbeck,E14001014,81900,80583,79755,162,0,75,591,399,156,52,117,74,758,203,105,104,112,234,80,56,20,4,80,15,65
2011,Washington and Sunderland West,E14001020,88619,86819,86076,129,0,14,600,552,164,84,168,136,946,345,101,153,157,190,205,150,30,25,97,40,57
2011,Altrincham and Sale West,E14000532,96591,87351,82644,1838,0,4,2865,2058,675,196,730,457,5399,1898,1712,121,1080,588,943,411,405,127,840,451,389
2011,Ashton-under-Lyne,E14000537,90484,79039,76459,660,0,12,1908,1535,644,243,433,215,8651,2678,3989,1052,469,463,1028,719,194,115,231,89,142
2011,Barrow and Furness,E14000543,88826,87430,86186,287,0,47,910,456,144,49,144,119,750,185,49,44,202,270,93,70,15,8,97,38,59
2011,Birkenhead,E14000559,88818,85108,83079,805,0,35,1189,1079,314,231,281,253,2272,589,83,591,700,309,213,126,65,22,146,45,101
2011,Blackburn,E14000570,107246,63562,60551,613,0,130,2268,1484,222,133,863,266,40259,19558,17205,1456,514,1526,812,555,152,105,1129,561,568
2011,Blackley and Broughton,E14000571,110754,75360,65807,2039,0,124,7390,4127,1506,983,844,794,18860,1894,11283,266,2122,3295,9174,6747,1059,1368,3233,1789,1444
2011,Blackpool North and Cleveleys,E14000572,83391,81104,79169,570,0,79,1286,825,303,127,241,154,1138,333,94,100,232,379,177,103,52,22,147,67,80
2011,Blackpool South,E14000573,81266,78494,75772,590,0,168,1964,1057,440,151,249,217,1307,327,139,132,324,385,196,95,67,34,212,106,106
2011,Bolton North East,E14000578,95288,78643,75879,720,0,48,1996,1750,671,259,566,254,12600,7416,3621,80,629,854,1698,1212,249,237,597,234,363
2011,Bolton South East,E14000579,101747,74265,71633,516,0,125,1991,1983,553,286,784,360,22005,11825,7341,501,513,1825,2455,1926,241,288,1039,405,634
2011,Bolton West,E14000580,94523,88043,86357,538,0,48,1100,1289,400,153,510,226,4310,2474,1100,33,318,385,644,427,140,77,237,98,139
2011,Bootle,E14000581,98449,96081,94300,784,0,35,962,1015,347,193,241,234,786,112,50,70,316,238,294,186,59,49,273,129,144
2011,Burnley,E14000609,87059,76054,74464,527,0,10,1053,976,228,90,476,182,9578,321,5924,2425,222,686,211,76,120,15,240,55,185
2011,Bury North,E14000611,87218,76835,74330,794,0,40,1671,1442,544,151,492,255,7820,432,6035,175,392,786,703,449,186,68,418,200,218
2011,Bury South,E14000612,97842,88197,83567,1563,0,32,3035,1923,763,293,513,354,5587,955,2967,136,708,821,1190,667,407,116,945,265,680
2011,Carlisle,E14000620,85979,84163,81266,318,0,158,2421,450,132,76,136,106,1154,246,104,174,303,327,116,83,16,17,96,45,51
2011,Cheadle,E14000627,91023,80942,78189,1047,0,14,1692,1603,429,182,588,404,7041,1629,3602,332,658,820,547,254,212,81,890,397,493
2011,Chorley,E14000637,94932,92019,90246,519,0,36,1218,871,379,95,246,151,1553,581,466,95,207,204,315,87,202,26,174,110,64
2011,City of Chester,E14000640,92995,89133,85047,931,0,53,3102,1197,347,161,416,273,1934,630,182,381,330,411,483,323,106,54,248,95,153
2011,Congleton,E14000646,91960,90294,88651,395,0,115,1133,655,194,79,235,147,770,194,60,63,214,239,122,65,43,14,119,61,58
2011,Copeland,E14000647,80891,79594,78492,223,0,17,862,401,137,44,134,86,720,158,81,89,180,212,104,62,30,12,72,13,59
2011,Crewe and Nantwich,E14000653,107271,103329,98057,597,0,121,4554,1383,644,143,344,252,1644,459,179,293,338,375,677,311,252,114,238,71,167
2011,Denton and Reddish,E14000661,85832,81019,78617,1286,0,5,1111,1546,693,263,334,256,2273,478,857,190,485,263,794,423,257,114,200,83,117
2011,Eddisbury,E14000686,85633,84316,82845,412,0,81,978,582,173,55,216,138,549,150,53,49,169,128,128,71,28,29,58,29,29
2011,Ellesmere Port and Neston,E14000688,86913,85007,82970,656,0,57,1324,741,209,102,256,174,867,224,68,70,255,250,178,115,40,23,120,38,82
